,2941,30/01/23,MAJORS DE 65 ANYS,ASTÚRIES,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERNET,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2940,30/01/23,MAJORS DE 65 ANYS,ASTÚRIES,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERNET,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2939,30/01/23,MAJORS DE 65 ANYS,ASTÚRIES,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERNET,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2938,30/01/23,MAJORS DE 65 ANYS,ASTÚRIES,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERNET,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2937,30/01/23,MAJORS DE 65 ANYS,ASTÚRIES,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERNET,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2936,30/01/23,MAJORS DE 65 ANYS,ASTÚRIES,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERNET,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2935,30/01/23,MAJORS DE 65 ANYS,ASTÚRIES,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,OFICINA DE TURISME,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2934,30/01/23,MAJORS DE 65 ANYS,ASTÚRIES,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,OFICINA DE TURISME,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2933,30/01/23,MAJORS DE 65 ANYS,BARCELONA,CATALUNYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,REPETIDORS,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2932,30/01/23,MAJORS DE 65 ANYS,BARCELONA,CATALUNYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,REPETIDORS,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2931,30/01/23,MAJORS DE 65 ANYS,BARCELONA,CATALUNYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,REPETIDORS,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2930,30/01/23,MAJORS DE 65 ANYS,BARCELONA,CATALUNYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,REPETIDORS,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2929,30/01/23,MAJORS DE 65 ANYS,CASTELLA I LLEÓ,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERÈS CULTURAL,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2928,30/01/23,MAJORS DE 65 ANYS,CASTELLA I LLEÓ,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERÈS CULTURAL,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2927,30/01/23,GENERAL,COMUNITAT DE MADRID,ESPANYA,13:00,"10,00 €",MANUEL,VISITA GUIADA,INTERÈS CULTURAL,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2926,30/01/23,GENERAL,TARRAGONA,CATALUNYA,12:00,"10,00 €",MANUEL,VISITA GUIADA,VISITA PENDENT,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2925,30/01/23,GENERAL,TARRAGONA,CATALUNYA,12:00,"10,00 €",MANUEL,VISITA GUIADA,VISITA PENDENT,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2924,30/01/23,GENERAL,TARRAGONA,CATALUNYA,12:00,"10,00 €",MANUEL,VISITA GUIADA,VISITA PENDENT,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2923,30/01/23,MAJORS DE 65 ANYS,TARRAGONA,CATALUNYA,12:00,"8,00 €",MANUEL,VISITA GUIADA,VISITA PENDENT,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
